iter	Passed	Remaining
0	1	118
1	2	107
2	3	104
3	3	95
4	5	95
5	6	95
6	6	92
7	7	90
8	8	88
9	9	86
10	10	87
11	11	86
12	12	85
13	13	84
14	14	83
15	15	82
16	16	82
17	17	81
18	18	80
19	19	78
20	20	76
21	21	75
22	22	74
23	23	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	57	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	85	1
98	87	0
99	87	0
