iter	Passed	Remaining
0	150	150744
1	152	75913
2	153	50999
3	155	38621
4	156	31099
5	157	26088
6	159	22562
7	159	19831
8	161	17738
9	162	16066
10	163	14702
11	164	13561
12	165	12571
13	166	11713
14	167	11014
15	168	10384
16	169	9825
17	171	9353
18	172	8910
19	173	8508
20	175	8180
21	176	7839
22	177	7531
23	178	7254
24	179	6997
25	180	6770
26	181	6550
27	182	6349
28	183	6158
29	184	5980
30	185	5811
31	187	5665
32	188	5517
33	189	5374
34	189	5235
35	190	5104
36	191	4991
37	193	4889
38	194	4791
39	195	4689
40	196	4594
41	197	4499
42	198	4417
43	200	4361
44	201	4282
45	202	4205
46	203	4131
47	204	4060
48	205	3993
49	206	3932
50	208	3871
51	208	3809
52	209	3752
53	211	3696
54	211	3640
55	212	3586
56	213	3539
57	214	3491
58	215	3442
59	216	3394
60	217	3348
61	218	3303
62	219	3259
63	219	3216
64	220	3177
65	221	3139
66	222	3100
67	223	3063
68	224	3026
69	225	2991
70	225	2956
71	226	2921
72	227	2889
73	228	2860
74	229	2831
75	230	2799
76	230	2768
77	231	2739
78	232	2711
79	233	2684
80	234	2658
81	235	2637
82	236	2610
83	237	2586
84	237	2561
85	238	2536
86	239	2511
87	240	2487
88	240	2464
89	241	2440
90	242	2419
91	243	2399
92	243	2379
93	244	2358
94	245	2337
95	245	2316
96	246	2296
97	247	2276
98	247	2257
99	249	2241
100	250	2226
101	251	2212
102	252	2197
103	253	2181
104	254	2166
105	255	2151
106	255	2136
107	256	2120
108	257	2107
109	258	2094
110	259	2079
111	260	2065
112	261	2050
113	262	2037
114	262	2023
115	263	2009
116	264	1995
117	265	1982
118	266	1973
119	267	1960
120	268	1947
121	268	1934
122	269	1922
123	270	1911
124	271	1898
125	272	1888
126	273	1876
127	273	1866
128	274	1854
129	275	1843
130	276	1832
131	277	1821
132	277	1811
133	278	1800
134	279	1789
135	280	1779
136	281	1770
137	281	1760
138	282	1749
139	283	1739
140	283	1729
141	284	1718
142	285	1708
143	285	1698
144	286	1689
145	287	1680
146	288	1672
147	289	1664
148	290	1656
149	290	1647
150	291	1640
151	292	1632
152	293	1624
153	294	1616
154	295	1608
155	296	1601
156	296	1594
157	297	1586
158	298	1578
159	299	1570
160	299	1561
161	300	1554
162	301	1547
163	302	1540
164	303	1535
165	304	1529
166	305	1521
167	306	1515
168	306	1508
169	307	1501
170	308	1495
171	309	1488
172	310	1482
173	311	1477
174	312	1471
175	312	1465
176	313	1458
177	314	1452
178	315	1446
179	316	1440
180	317	1434
181	318	1430
182	319	1425
183	320	1420
184	321	1414
185	321	1408
186	322	1403
187	323	1397
188	324	1392
189	325	1387
190	326	1382
191	327	1377
192	328	1372
193	329	1367
194	329	1362
195	330	1357
196	331	1352
197	332	1348
198	334	1344
199	335	1340
200	335	1335
201	336	1330
202	337	1325
203	338	1321
204	339	1318
205	341	1314
206	342	1311
207	343	1306
208	343	1301
209	344	1296
210	345	1292
211	346	1289
212	347	1285
213	348	1281
214	349	1277
215	350	1273
216	351	1268
217	352	1263
218	353	1259
219	354	1255
220	354	1251
221	356	1248
222	357	1244
223	358	1240
224	358	1236
225	359	1232
226	360	1227
227	361	1223
228	362	1219
229	363	1217
230	364	1213
231	365	1209
232	366	1205
233	366	1201
234	367	1197
235	368	1194
236	370	1191
237	371	1188
238	372	1185
239	373	1181
240	374	1178
241	374	1174
242	376	1171
243	377	1169
244	378	1166
245	379	1163
246	380	1159
247	381	1156
248	382	1153
249	383	1150
250	384	1147
251	385	1145
252	387	1142
253	388	1140
254	389	1137
255	390	1133
256	391	1131
257	392	1128
258	394	1129
259	396	1128
260	397	1125
261	398	1123
262	399	1120
263	401	1119
264	402	1117
265	403	1114
266	404	1111
267	405	1108
268	407	1106
269	408	1104
270	409	1101
271	410	1098
272	411	1095
273	412	1092
274	413	1089
275	414	1088
276	416	1086
277	417	1083
278	418	1080
279	419	1077
280	420	1076
281	421	1073
282	423	1072
283	424	1069
284	425	1066
285	426	1063
286	426	1060
287	428	1058
288	429	1055
289	430	1053
290	431	1051
291	432	1048
292	433	1046
293	434	1043
294	435	1041
295	436	1038
296	437	1036
297	438	1033
298	439	1031
299	440	1028
300	441	1025
301	442	1022
302	443	1020
303	445	1019
304	446	1016
305	447	1014
306	448	1011
307	449	1008
308	449	1006
309	451	1004
310	452	1002
311	453	999
312	454	996
313	454	993
314	455	990
315	456	987
316	457	985
317	458	983
318	459	980
319	460	978
320	461	975
321	462	972
322	462	970
323	463	967
324	464	965
325	466	965
326	467	962
327	468	960
328	469	957
329	470	954
330	471	952
331	472	950
332	473	947
333	474	945
334	475	943
335	475	940
336	476	938
337	477	935
338	478	933
339	479	931
340	480	929
341	481	927
342	482	924
343	483	922
344	484	919
345	485	917
346	485	914
347	486	911
348	487	909
349	488	906
350	489	904
351	490	902
352	491	900
353	491	897
354	492	895
355	493	892
356	494	890
357	495	888
358	496	885
359	496	883
360	497	881
361	498	879
362	499	876
363	500	874
364	501	872
365	502	869
366	503	867
367	503	865
368	504	863
369	505	860
370	506	858
371	506	855
372	507	853
373	508	850
374	509	848
375	510	846
376	511	844
377	512	842
378	513	840
379	514	839
380	515	837
381	516	834
382	517	833
383	518	832
384	520	830
385	521	829
386	522	827
387	523	825
388	525	825
389	526	823
390	527	822
391	528	820
392	529	818
393	531	816
394	532	815
395	533	813
396	534	811
397	535	810
398	536	808
399	537	806
400	538	804
401	540	803
402	541	801
403	542	800
404	543	798
405	544	796
406	545	794
407	547	794
408	549	793
409	549	791
410	550	789
411	551	787
412	552	785
413	553	783
414	554	782
415	555	780
416	556	778
417	557	776
418	558	774
419	559	772
420	560	770
421	561	769
422	562	767
423	563	765
424	564	763
425	565	761
426	566	760
427	567	757
428	568	756
429	569	754
430	570	752
431	571	750
432	572	749
433	572	747
434	573	745
435	574	743
436	590	761
437	591	759
438	593	757
439	593	755
440	594	754
441	595	752
442	596	750
443	597	748
444	598	746
445	599	745
446	600	743
447	602	741
448	602	739
449	603	737
450	604	736
451	605	734
452	606	732
453	608	731
454	609	729
455	609	727
456	610	725
457	611	724
458	612	722
459	613	720
460	614	718
461	615	717
462	616	715
463	617	713
464	619	712
465	620	710
466	621	708
467	622	707
468	623	705
469	624	704
470	625	702
471	626	700
472	627	698
473	628	696
474	629	696
475	630	694
476	631	692
477	632	690
478	633	688
479	634	687
480	634	685
481	635	683
482	636	681
483	637	679
484	638	678
485	639	676
486	640	674
487	641	672
488	642	671
489	643	669
490	644	667
491	645	666
492	646	664
493	647	662
494	648	661
495	648	659
496	649	657
497	650	655
498	651	654
499	652	652
500	653	651
501	655	649
502	655	648
503	656	646
504	657	644
505	658	643
506	659	641
507	660	639
508	661	638
509	662	636
510	663	634
511	664	633
512	665	631
513	666	630
514	667	628
515	668	626
516	669	625
517	669	623
518	670	621
519	671	619
520	672	618
521	673	616
522	674	615
523	675	613
524	676	611
525	677	610
526	678	608
527	678	606
528	679	605
529	680	603
530	681	602
531	682	600
532	683	598
533	684	597
534	685	595
535	686	593
536	687	592
537	688	591
538	689	589
539	690	588
540	691	586
541	692	584
542	693	583
543	693	581
544	694	579
545	695	578
546	696	577
547	697	575
548	698	573
549	699	572
550	700	570
551	701	568
552	702	567
553	703	566
554	704	564
555	704	562
556	705	561
557	706	559
558	707	558
559	708	556
560	709	555
561	710	553
562	711	551
563	711	550
564	712	548
565	713	547
566	714	545
567	715	544
568	716	542
569	717	540
570	718	539
571	719	538
572	719	536
573	720	534
574	721	533
575	722	531
576	723	530
577	723	528
578	724	527
579	726	525
580	727	524
581	727	522
582	728	521
583	729	519
584	730	518
585	731	516
586	731	514
587	732	513
588	733	512
589	734	510
590	735	508
591	736	507
592	737	505
593	737	504
594	738	502
595	739	501
596	740	500
597	741	498
598	742	497
599	743	495
600	744	494
601	745	492
602	745	491
603	746	489
604	748	488
605	749	487
606	749	485
607	750	484
608	751	482
609	752	481
610	753	479
611	754	478
612	755	476
613	756	475
614	757	474
615	758	472
616	759	471
617	760	470
618	761	468
619	762	467
620	763	465
621	764	464
622	765	463
623	766	461
624	767	460
625	768	458
626	769	457
627	770	456
628	771	454
629	772	453
630	772	452
631	773	450
632	774	449
633	775	447
634	776	446
635	777	445
636	778	443
637	779	442
638	780	440
639	781	439
640	781	437
641	782	436
642	783	435
643	784	433
644	786	432
645	787	431
646	788	429
647	788	428
648	789	427
649	790	425
650	791	424
651	792	423
652	794	421
653	794	420
654	796	419
655	796	417
656	797	416
657	798	415
658	799	413
659	800	412
660	801	411
661	802	409
662	803	408
663	804	406
